,link,series,price
0,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-argent-129973.html,iphone-14-pro-max-256-go-argent,1281.9
1,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-noir-sideral-129939.html,iphone-14-pro-max-256-go-noir-sideral,1264.0
2,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-or-129971.html,iphone-14-pro-max-128-go-or,1149.9
3,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-violet-intense-129964.html,iphone-14-pro-max-128-go-violet-intense,1189.0
4,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-violet-intense-129961.html,iphone-14-pro-max-512-go-violet-intense,1299.9
5,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-or-129931.html,iphone-14-pro-max-256-go-or,1304.0
6,https://www.pixmania.com/fr/fr/iphone-14-pro-max-256-go-violet-intense-129965.html,iphone-14-pro-max-256-go-violet-intense,1209.9
7,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-noir-sideral-129969.html,iphone-14-pro-max-128-go-noir-sideral,1119.9
8,https://www.pixmania.com/fr/fr/iphone-14-pro-max-128-go-argent-129932.html,iphone-14-pro-max-128-go-argent,1179.0
9,https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-or-129976.html,iphone-14-pro-max-1-to-or,1949.74
10,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-noir-sideral-129974.html,iphone-14-pro-max-512-go-noir-sideral,1339.0
11,https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-argent-129972.html,iphone-14-pro-max-1-to-argent,1602.9
12,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-or-129954.html,iphone-14-pro-max-512-go-or,1745.58
13,https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-noir-sideral-129953.html,iphone-14-pro-max-1-to-noir-sideral,2204.49
14,https://www.pixmania.com/fr/fr/iphone-14-pro-max-512-go-argent-129938.html,iphone-14-pro-max-512-go-argent,1379.0
15,https://www.pixmania.com/fr/fr/iphone-14-pro-max-1-to-violet-intense-129935.html,iphone-14-pro-max-1-to-violet-intense,1419.9
